fecha,semana_iso,corpus,diario,provincia,region,ciudad_origen,url_medio,titular,palabras_encontradas,cantidad_palabras
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Marcha atrás: Milei reabrirá la sala de periodistas y Adorni volverá a dar una conferencia en la Rosada,marcha,1
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Una diputada bonaerense y un dirigente platense de la Izquierda detenidos por el ejército de Israel: piquete en 7 y 50,piquete,1
2026-04-30,2026-W18,provincial,5 DÍAS,Buenos Aires,AMBA,Quilmes,https://www.diario5dias.com.ar,"La Multisectorial de Quilmes convocó a movilizarse por el Día del Trabajador y denunció despidos, ajuste y represión",represión,1
2026-04-30,2026-W18,provincial,5 DÍAS,Buenos Aires,AMBA,Quilmes,https://www.diario5dias.com.ar,"La Multisectorial de Quilmes convocó a movilizarse por el Día del Trabajador y denunció despidos, ajuste y represión El documento cierra con fuertes críticas al rumbo económico del Gobierno nacional, al que acusan de favorecer a grandes empresas en detrimento de la población. Leer más",represión,1
2026-04-30,2026-W18,provincial,LA VOZ DEL INTERIOR,Córdoba,Centro,Córdoba,https://www.lavoz.com.ar,"Protesta. La CGT marchó a Plaza de Mayo contra la reforma laboral: ""Vamos a profundizar los conflictos"", advirtieron",protesta,1
2026-04-30,2026-W18,provincial,EL DIARIO,Entre Ríos,Centro,Entre rios,https://www.eldiario.com.ar,El Superior Tribunal descuenta sueldos por paros: AJER frena la protesta,protesta,1
2026-04-30,2026-W18,provincial,UNO ENTRE RÍOS,Entre Ríos,Centro,Entre rios,https://www.unoentrerios.com.ar,"La CGT llamó a ponerle ""un límite"" a Javier Milei en la marcha por el Día del Trabajador",marcha,1
2026-04-30,2026-W18,provincial,UNO ENTRE RÍOS,Entre Ríos,Centro,Entre rios,https://www.unoentrerios.com.ar,Personal de salud reclamó por salarios y denunciaron sobrecarga laboral: las notas elevadas al ministro Daniel Blanzaco,reclamo,1
2026-04-30,2026-W18,provincial,AIRE DIGITAL,Santa Fe,Centro,Santa Fe,https://www.airedesantafe.com.ar,Conflicto en Correo Argentino: reincorporan despedidos y se levanta el paro,paro,1
2026-04-30,2026-W18,provincial,AIRE DIGITAL,Santa Fe,Centro,Santa Fe,https://www.airedesantafe.com.ar,La historia de los Mártires de Chicago: la protesta que terminó en tragedia y dio origen al 1° de mayo,protesta,1
